Speech intention	Time_adapted	Speech specific	Wizard	Filename	Expression specific	Vp_num	Study progress (coarse)	Addressee final (reduced)	Wizard addressee	Speech politeness	Annotator	Robot speech	Addressee final	Apartment time	Apartment door state	Study progress (detailed)	Condition	Apartment call	Cupboard door state	Cupboard handle sound	Focus of attention (reduced)	Order	Displayed Text	Speech form of address	Cupboard handle light	Speech type of sentence	Expression (facial, gestural, verbal)	Apartment parcel	Method	Radio	Robot gesture	Focus of attention	Method specific	Wizard task
Kommunikationsversuch	0	__Hat jemand für mich angerufen?__	Aufgabe 5 Roboter	VP4_R1-nonverbal_PH.eaf		4	Task solution	Robot	Robot	neutral	PH		Robot			Lösungsversuch	nonverbal				Robot	1		with Name		Question (sentence)	unobserved		speech			Robot	VP fragt: __Hat jemand für mich angerufen?__	5
Kommunikationsversuch	898	__Ähm, bitte das Licht im Flur anmachen.__	Aufgabe 1 Apartment	VP4_R1-nonverbal_PH.eaf		4	Task solution	Robot	Apartment	polite	PH		Robot			Lösungsversuch	nonverbal				Robot	1		with Name		Command (sentence)	unobserved		speech			Robot	VP sagt: __Ähm, bitte das Licht im Flur anmachen.__	1
Kommunikationsversuch	0	__Bitte das Licht im Flur ausmachen.__	Aufgabe 2 Roboter	VP4_R1-nonverbal_PH.eaf		4	Task solution	Robot	Robot	polite	PH		Robot			Lösungsversuch	nonverbal				Robot	1		with Name		Command (sentence)	unobserved		speech			Robot	VP sagt: __Bitte das Licht im Flur ausmachen.__	2
Kommunikationsversuch	0	__Bitte heller machen.__	Aufgabe 7 Stehlampe	VP4_R1-nonverbal_PH.eaf	VP ist hier ratlos, weil sie nicht erkennt, dass sie die Aufgabe gelöst hat; hier ist auch einiges schief gelaufen	4	Task solution	Robot	Floor lamp \(L_F\)	polite	PH		Robot			Lösungsversuch	nonverbal				Robot	1		with Name		Command (sentence)	baffled		speech			Robot	VP sagt: __Bitte heller amchen.__	7
Kommunikationsversuch	0	__Bitte diese Stehlampe einschalte.__	Aufgabe 7 Stehlampe	VP4_R1-nonverbal_PH.eaf		4	Task solution	Robot	Floor lamp \(L_F\)	polite	PH		Robot			Lösungsversuch	nonverbal				Robot	1		with Name		Command (sentence)	unobserved		speech			Robot	VP sagt zum Roboter: __Bitte diese Stehlampe einschalten.__	7
Kommunikationsversuch	0	Gab es Anrufe in meiner Abwesenheit?	Aufgabe 5 Apartment	VP6_RF1-nonverbal.ES.eaf		6	Task solution	Unspecific	Apartment	neutral	ES		Unspecific			Lösungsversuch	nonverbal				Unspecific	1		with Name		Question (sentence)	unobserved		speech			Unspecific	VP steht in der Küche vor der Arbeitsfläche und fragt in den Raum: __Gab es Anrufe in meiner Abwesenheit?__	5
Kommunikationsversuch	31903	Ist ein Paket angekommen?	Aufgabe 4 Apartment	VP6_RF1-nonverbal.ES.eaf		6	Task solution	Unspecific	Apartment	neutral	ES		Unspecific			Lösungsversuch	nonverbal			/vol/csra/releases/trusty/lsp-csra-nightly/share/scripts/ghost.wav	Unspecific	1		with Name		Question (sentence)	unobserved		speech			Unspecific	VP fragt in den Raum: __Ist ein Paket angekommen?__ 	4
	0		Aufgabe 7 Stehlampe	VP6_RF1-nonverbal.ES.eaf		6	Task solution	Floor lamp \(L_F\)	Floor lamp \(L_F\)	unobserved	ES		Floor lamp \(L_F\)			Lösungsversuch	nonverbal				Floor lamp \(L_F\)	1		unobserved		unobserved	unobserved		gesture			Floor lamp \(L_F\)	VP bewegt mit der Hand an der Lampe entlang, berührtdie aber nicht	7
Kommunikationsversuch	639	Wie spät ist es?	Aufgabe 6 Apartment	VP6_RF1-nonverbal.ES.eaf		6	Task solution	Unspecific	Apartment	neutral	ES		Unspecific			Lösungsversuch	nonverbal				Unspecific	1		with Name		Question (sentence)	unobserved		speech			Unspecific	VP fragt in den Raum: __Wie spät ist es?__ und schaut erst dann zum Bildschirm	6
	0		Aufgabe 2 Apartment	VP6_RF1-nonverbal.ES.eaf		6	Task solution	Unspecific	Apartment	unobserved	ES		Unspecific			Lösungsversuch	nonverbal				Unspecific	1		unobserved		unobserved	unobserved		gesture			Unspecific	VP steht in der Küche und winkt mehrmals nach oben zum Licht	2
	0		Aufgabe 1 Apartment	VP6_RF1-nonverbal.ES.eaf		6	Task solution	Light in the hallway \(L_H\)	Apartment	unobserved	ES		Light in the hallway \(L_H\)			Lösungsversuch	nonverbal				Light in the hallway \(L_H\)	1		unobserved		unobserved	unobserved		gesture			Light in the hallway \(L_H\)	VP geht in den Flur und winkt mit der Hand nach oben zum Licht	1
Kommunikationsversuch	0	Ist ein Paket angekommen?	Aufgabe 4 Apartment	VP6_RF1-nonverbal.ES.eaf		6	Task solution	Unspecific	Apartment	neutral	ES		Unspecific			Lösungsversuch	nonverbal				Unspecific	1		with Name		Question (sentence)	unobserved		speech			Unspecific	VP fragt in den Raum: __Ist ein Paket angekommen?__ 	4
	0		Aufgabe 3 Apartment	VP6_RF1-nonverbal.ES.eaf		6	Task solution	Parts of the apartment	Apartment	unobserved	ES		Screen (living room window)			Lösungsversuch	nonverbal				Parts of the apartment	1		unobserved		unobserved	unobserved		touch			Screen (living room window)	VP berührt den Bildschirm auf der Fensterbank	3
	3849		Aufgabe 7 Stehlampe	VP6_RF1-nonverbal.ES.eaf		6	Task solution	Floor lamp \(L_F\)	Floor lamp \(L_F\)	unobserved	ES		Floor lamp \(L_F\)			Lösungsversuch	nonverbal				Floor lamp \(L_F\)	1		unobserved		unobserved	unobserved		gesture			Floor lamp \(L_F\)	VP bewegt mit der Hand an der Lampe entlang, berührtdie aber nicht	7
Kommunikationsversuch	302	__Äh, wie spät ist es jetzt?__	Aufgabe 6 Apartment	VP7_R1-nonverbal_PH.eaf		7	Task solution	Parts of the apartment	Apartment	neutral	PH		Screen (kitchen on worktop)			Lösungsversuch	nonverbal				Parts of the apartment	1		with Name		Question (sentence)	unobserved		speech			Screen (kitchen on worktop)	VP fragt: __Äh, wie spät ist es jetzt?__	6
Kommunikationsversuch	0	__Hat irgendwer angerufen?__	Aufgabe 5 Apartment	VP7_R1-nonverbal_PH.eaf		7	Task solution	Unspecific	Apartment	neutral	PH		Unspecific			Lösungsversuch	nonverbal				Unspecific	1		with Name		Question (sentence)	unobserved		speech			Unspecific	VP fragt: __Hat irgendwer angerufen?__	5
	0		Aufgabe 7 Stehlampe	VP7_R1-nonverbal_PH.eaf		7	Task solution	Floor lamp \(L_F\)	Floor lamp \(L_F\)	unobserved	PH		Floor lamp \(L_F\)			Lösungsversuch	nonverbal				Floor lamp \(L_F\)	1		unobserved		unobserved	unobserved		touch			Floor lamp \(L_F\)	VP berührt mehrfach die Stehlampe	7
	0		Aufgabe 7 Stehlampe	VP7_R1-nonverbal_PH.eaf		7	Task solution	Floor lamp \(L_F\)	Floor lamp \(L_F\)	unobserved	PH		Floor lamp \(L_F\)			Lösungsversuch	nonverbal				Floor lamp \(L_F\)	1		unobserved		unobserved	unobserved		touch			Floor lamp \(L_F\)	VP berührt mehrfach die Stehlampe	7
	762		Aufgabe 2 Apartment	VP7_R1-nonverbal_PH.eaf		7	Task solution	Parts of the apartment	Apartment	unobserved	PH		Sliding door (between hallway and kitchen)			Lösungsversuch	nonverbal				Parts of the apartment	1		unobserved		unobserved	unobserved		touch			Sliding door (between hallway and kitchen)	VP schließt die Schiebetür der Küche	2
	0		Aufgabe 1 Apartment	VP7_R1-nonverbal_PH.eaf		7	Task solution	Light in the hallway \(L_H\)	Apartment	unobserved	PH		Light in the hallway \(L_H\)			Lösungsversuch	nonverbal				Light in the hallway \(L_H\)	1		unobserved		unobserved	unobserved		gesture			Light in the hallway \(L_H\)	VP klatscht	1
Kommunikationsversuch	0	__Habe ich Post?__	Aufgabe 4 Apartment	VP7_R1-nonverbal_PH.eaf	Wirkt wieder etwas unsicher einach in den Raum zu fragen	7	Task solution	Unspecific	Apartment	neutral	PH		Unspecific			Lösungsversuch	nonverbal				Unspecific	1		with Name		Question (sentence)	baffled		speech			Unspecific	VP fragt in den Raum; __Habe ich Post?__	4
	0		Aufgabe 3 Apartment	VP7_R1-nonverbal_PH.eaf	VP ist unsicher	7	Task solution	Unspecific	Apartment	unobserved	PH		Unspecific			Lösungsversuch	nonverbal				Unspecific	1		unobserved		unobserved	baffled		speech			Unspecific	VP fragt: __Musik?__. VP ist sichtlich unsicher (macht ratlose Geste und denkt erst er hätte kinen Erfolg gehabt)	3
Kommunikationsversuch	0	__Sind Pakete da?__	Aufgabe 4 Roboter	VP8_R2-verbal_PH.eaf		8	Task solution	Robot	Robot	neutral	PH		Robot			Lösungsversuch	verbal				Robot	2		with Name		Question (sentence)	unobserved		speech			Robot	VP fragt: __Sind Pakete da?__	4
Kommunikationsversuch	0	__Und wie spät ist es jetzt?__	Aufgabe 6 Roboter	VP8_R2-verbal_PH.eaf		8	Task solution	Robot	Robot	neutral	PH		Robot			Lösungsversuch	verbal				Robot	2		with Name		Question (sentence)	unobserved		speech			Robot	VP fragt: __Und wie spät ist es jetzt?__	6
	0		Aufgabe 7 Stehlampe	VP8_R2-verbal_PH.eaf	VP wirkt gespannt, ob das klappt, was sie macht	8	Task solution	Floor lamp \(L_F\)	Floor lamp \(L_F\)	unobserved	PH		Floor lamp \(L_F\)			Lösungsversuch	verbal				Floor lamp \(L_F\)	2		unobserved		unobserved	curious		gesture			Floor lamp \(L_F\)	VP macht 2x Wischbewegung oberhalb der Stehlampe	7
Kommunikationsversuch	0	__Kannst du bitte das Licht im Flur ausschalten?__	Aufgabe 2 Apartment	VP8_R2-verbal_PH.eaf		8	Task solution	Robot	Apartment	polite	PH		Robot			Lösungsversuch	verbal				Robot	2		with Name		Command (sentence)	unobserved		speech			Robot	VP sagt: __Kannst du bitte das Licht im Flur ausschalten?__	2
Kommunikationsversuch	119	__Kannst du mir erzählen, wie das Licht angeht?__	Aufgabe 1 Roboter	VP8_R2-verbal_PH.eaf		8	Task solution	Robot	Robot	neutral	PH		Robot			Lösungsversuch	verbal				Robot	2		with Name		Question (sentence)	unobserved		speech			Robot	VP fragt: __Kannst du mir erzählen, wie das Licht angeht?__	1
Kommunikationsversuch	25	__Kannst du mir sagen, ob Anrufe für mich da sind?__	Aufgabe 5 Roboter	VP8_R2-verbal_PH.eaf		8	Task solution	Robot	Robot	neutral	PH		Robot			Lösungsversuch	verbal				Unspecific	2		with Name		Question (sentence)	unobserved		speech	cheerleader10s.ogg		Unspecific	VP fragt: __Kannst du mir sagen, ob Anrufe für mich da sind?__	5
Kommunikationsversuch	0	__Ein bisschen Musik wäre jetzt schön.__	Aufgabe 3 Roboter	VP8_R2-verbal_PH.eaf		8	Task solution	Robot	Robot	neutral	PH		Robot			Lösungsversuch	verbal				Unspecific	2		with Name		Command (sentence)	unobserved		speech			Unspecific	VP sagt: __Ein bisschen Musik wäre jetzt schön.__	3
	0		Aufgabe 7 Stehlampe	VP9_R1-verbal_ES.eaf		9	Task solution	Floor lamp \(L_F\)	Floor lamp \(L_F\)	unobserved	ES		Floor lamp \(L_F\)			Lösungsversuch	verbal				Floor lamp \(L_F\)	1		unobserved		unobserved	unobserved		gesture			Floor lamp \(L_F\)	VP bewegt die Hand mehrmals an der Lampe entlang, berührt sie aber nicht	7
Kommunikationsversuch	640	__Wie spät ist es?__	Aufgabe 6 Apartment	VP9_R1-verbal_ES.eaf		9	Task solution	Parts of the apartment	Apartment	neutral	ES		Screen (kitchen on worktop)			Lösungsversuch	verbal				Parts of the apartment	1		with Name		Question (sentence)	unobserved		speech			Screen (kitchen on worktop)	VP schaut den Bildschirm auf der Arbeitsfläche an und fragt:__Wie spät ist es?__	6
Kommunikationsversuch	212	__Licht!__	Aufgabe 1 Apartment	VP9_R1-verbal_ES.eaf		9	Task solution	Light in the hallway \(L_H\)	Apartment	neutral	ES		Light in the hallway \(L_H\)			Lösungsversuch	verbal				Light in the hallway \(L_H\)	1		with Name		Command (words)	unobserved		speech			Light in the hallway \(L_H\)	VP schaut nach oben zur Lampe und sagt:__Licht!__	1
Kommunikationsversuch	0	__Musik!__	Aufgabe 3 Apartment	VP9_R1-verbal_ES.eaf		9	Task solution	Parts of the apartment	Apartment	neutral	ES		Screen (kitchen on worktop)			Lösungsversuch	verbal				Parts of the apartment	1		with Name		Command (words)	unobserved		speech			Screen (kitchen on worktop)	VP schaut den Bildschirm auf der Arbeitsplatte an und sagt: __Musik!__	3
Kommunikationsversuch	0	__Licht aus!__	Aufgabe 2 Apartment	VP9_R1-verbal_ES.eaf		9	Task solution	Light in the hallway \(L_H\)	Apartment	neutral	ES		Light in the hallway \(L_H\)			Lösungsversuch	verbal				Light in the hallway \(L_H\)	1		with Name		Command (words)	unobserved		speech			Light in the hallway \(L_H\)	VP schaut nach oben zur Lampe und sagt: __Licht aus!__	2
Kommunikationsversuch	0	__Hat jemand angerufen?__	Aufgabe 5 Apartment	VP9_R1-verbal_ES.eaf		9	Task solution	Parts of the apartment	Apartment	neutral	ES		Screen (kitchen on worktop)			Lösungsversuch	verbal				Parts of the apartment	1		with Name		Question (words)	unobserved		speech			Screen (kitchen on worktop)	VP schaut den Bildschirm auf der Arbeitsfläche an und fragt: __Hat jemand angerufen?__	5
Kommunikationsversuch	0	Ist ein Paket angekommen?	Aufgabe 4 Apartment	VP9_R1-verbal_ES.eaf		9	Task solution	Parts of the apartment	Apartment	neutral	ES		Screen (kitchen on worktop)			Lösungsversuch	verbal				Parts of the apartment	1		with Name		Question (words)	unobserved		speech			Screen (kitchen on worktop)	VP schaut den Bildschirm auf der Arbeitsfläche an und fragt: __ Ist ein Paket angekommen?__	4
Kommunikationsversuch	0	__Okay, jetzt... Habe ich in der letzten Zeit ein Paket bekommen?__	Aufgabe 4 Roboter	VP11_R2-verbal_ES.eaf		11	Task solution	Robot	Robot	neutral	ES		Robot			Lösungsversuch	verbal				Robot	2		with Name		Question (sentence)	unobserved		speech			Robot	VP fragt den Roboter: __Okay, jetzt... Habe ich in der letzten Zeit ein Paket bekommen?__	4
Kommunikationsversuch	0	__Und wieviel Uhr haben wir jetzt?__	Aufgabe 6 Roboter	VP11_R2-verbal_ES.eaf		11	Task solution	Robot	Robot	neutral	ES		Robot			Lösungsversuch	verbal				Robot	2		with Name		Question (sentence)	unobserved		speech			Robot	VP fragt den Roboter: __Und wieviel Uhr haben wir jetzt?__	6
	0		Aufgabe 7 Stehlampe	VP11_R2-verbal_ES.eaf		11	Task solution	Floor lamp \(L_F\)	Floor lamp \(L_F\)	unobserved	ES		Floor lamp \(L_F\)			Lösungsversuch	verbal				Floor lamp \(L_F\)	2		unobserved		unobserved	unobserved		touch			Floor lamp \(L_F\)	VP berührt die Lampe mehrmals oben, versucht die Helligkeit zu steuern	7
	0		Aufgabe 2 Apartment	VP11_R2-verbal_ES.eaf		11	Task solution	Light in the hallway \(L_H\)	Apartment	unobserved	ES		Light in the hallway \(L_H\)			Lösungsversuch	verbal				Light in the hallway \(L_H\)	2		unobserved		unobserved	unobserved		gesture			Light in the hallway \(L_H\)	VP winkt Richtung Licht im Flur nach oben	2
Kommunikationsversuch	0	__Licht im Flur!__	Aufgabe 1 Apartment	VP11_R2-verbal_ES.eaf		11	Task solution	Light in the hallway \(L_H\)	Apartment	neutral	ES		Light in the hallway \(L_H\)			Lösungsversuch	verbal				Light in the hallway \(L_H\)	2		with Name		Statement (words)	neutral		gesture			Light in the hallway \(L_H\)	VP schaut nach oben und winkt Richtung Lampe und sagt leise: __Licht im Flur!__	1
Kommunikationsversuch	0	__Hat mich schon jemand angerufen?__	Aufgabe 5 Roboter	VP11_R2-verbal_ES.eaf		11	Task solution	Robot	Robot	neutral	ES		Robot			Lösungsversuch	verbal				Robot	2		with Name		Question (sentence)	unobserved		speech			Robot	VP fragt den Roboter: __Hat mich schon jemand angerufen?__	5
Kommunikationsversuch	0	__Musik?!...Hallo?!...Ach Mann...__	Aufgabe 3 Roboter	VP11_R2-verbal_ES.eaf	Als die VP __Ach Mann...__ sagt, kann man an der Tonlage die Enttäuschung erkennen	11	Task solution	Unspecific	Robot	neutral	ES		Unspecific			Lösungsversuch	verbal				Unspecific	2		with Name		Command (words)	disappointed		speech			Unspecific	VP sagt laut in den Raum: __Musik?!...Hallo?!...Ach Mann...__	3
	37560		Aufgabe 7 Stehlampe	VP12_RF2-nonverbal_ES.eaf		12	Task solution	Floor lamp \(L_F\)	Floor lamp \(L_F\)	unobserved	ES		Floor lamp \(L_F\)			Lösungsversuch	nonverbal				Floor lamp \(L_F\)	2		unobserved		unobserved	unobserved		gesture			Floor lamp \(L_F\)	VP bewegt mit der Hanh vor der Lampe	7
Kommunikationsversuch	0	Uhrzeit!	Aufgabe 6 Apartment	VP12_RF2-nonverbal_ES.eaf		12	Task solution	Unspecific	Apartment	neutral	ES		Unspecific			Lösungsversuch	nonverbal				Parts of the apartment	2		with Name		Command (words)	unobserved		speech			Screen (kitchen on worktop)	VP schaut auf den Bildschirm und sagt: __Uhrzeit!__	6
Kommunikationsversuch	0	Verpasste Anruffe!	Aufgabe 5 Apartment	VP12_RF2-nonverbal_ES.eaf		12	Task solution	Unspecific	Apartment	neutral	ES		Unspecific			Lösungsversuch	nonverbal				Unspecific	2		with Name		Command (words)	unobserved		speech			Unspecific	VP spricht in den Raum: __Verpasste Anrufe!__	5
	0		Aufgabe 7 Stehlampe	VP12_RF2-nonverbal_ES.eaf		12	Task solution	Floor lamp \(L_F\)	Floor lamp \(L_F\)	unobserved	ES		Floor lamp \(L_F\)			Lösungsversuch	nonverbal				Floor lamp \(L_F\)	2		unobserved		unobserved	unobserved		gesture			Floor lamp \(L_F\)	VP bewegt mit der Hanh vor der Lampe	7
Kommunikationsversuch	0	Paket!	Aufgabe 4 Apartment	VP12_RF2-nonverbal_ES.eaf		12	Task solution	Unspecific	Apartment	neutral	ES		Unspecific			Lösungsversuch	nonverbal				Parts of the apartment	2		with Name		Command (words)	unobserved		speech			Screen (kitchen on worktop)	VP schaut auf den Bildschirm (Arbeitsfläche) und sagt: __Paket!__	4
Kommunikationsversuch	0	Hier Licht an!	Aufgabe 1 Apartment	VP12_RF2-nonverbal_ES.eaf		12	Task solution	Light in the hallway \(L_H\)	Apartment	neutral	ES		Light in the hallway \(L_H\)			Lösungsversuch	nonverbal				Light in the hallway \(L_H\)	2		with Name		Command (words)	unobserved		speech			Light in the hallway \(L_H\)	VP schaut nach oben zum Licht und sagt: __Hier Licht an!__	1
Kommunikationsversuch	0	Musik an!	Aufgabe 3 Apartment	VP12_RF2-nonverbal_ES.eaf		12	Task solution	Unspecific	Apartment	neutral	ES		Unspecific			Lösungsversuch	nonverbal				Unspecific	2		with Name		Command (words)	unobserved		speech			Unspecific	VP spricht in den Raum: __Musik an!__	3
Kommunikationsversuch	0	Licht Flur aus!	Aufgabe 2 Apartment	VP12_RF2-nonverbal_ES.eaf		12	Task solution	Light in the hallway \(L_H\)	Apartment	neutral	ES		Light in the hallway \(L_H\)			Lösungsversuch	nonverbal				Light in the hallway \(L_H\)	2		with Name		Command (words)	unobserved		speech			Light in the hallway \(L_H\)	VP schaut zum Licht und sagt: __Licht Flutr aus!__	2
	0		Aufgabe 7 Stehlampe	VP13_RF2-verbal_ES.eaf		13	Task solution	Floor lamp \(L_F\)	Floor lamp \(L_F\)	unobserved	ES		Floor lamp \(L_F\)			Lösungsversuch	verbal				Floor lamp \(L_F\)	2		unobserved		unobserved	unobserved		touch			Floor lamp \(L_F\)	VP läst die Aufgabe konservativ, sie macht die Lampe am Schalter an und aus	7
	0		Aufgabe 3 Apartment	VP13_RF2-verbal_ES.eaf		13	Task solution	Parts of the apartment	Apartment	unobserved	ES		Screen (kitchen on worktop)			Lösungsversuch	verbal				Parts of the apartment	2		unobserved		unobserved	unobserved		touch			Screen (kitchen on worktop)	VP spricht leise mit sich selbst (nicht erkennbar) und berührt den Bildschirm, dreht sich dann weg und geht	3
Kommunikationsversuch	0	__Ist ein Paket für mich angekommen?__	Aufgabe 4 Apartment	VP15_R2-nonverbal_ES.eaf		15	Task solution	Parts of the apartment	Apartment	neutral	ES		Screen (kitchen on worktop)			Lösungsversuch	nonverbal				Parts of the apartment	2		with Name		Question (sentence)	unobserved		speech			Screen (kitchen on worktop)	VP schaut wieder auf den Bildschirm auf der Arbeitsfläche und fragt: __Ist ein Paket für mich angekommen?__	4
	7378		Aufgabe 7 Stehlampe	VP15_R2-nonverbal_ES.eaf		15	Task solution	Floor lamp \(L_F\)	Floor lamp \(L_F\)	unobserved	ES		Floor lamp \(L_F\)			Lösungsversuch	nonverbal				Floor lamp \(L_F\)	2		unobserved		unobserved	unobserved		touch			Floor lamp \(L_F\)	VP berührt mehrmals die Lampe, versucht die Helligkeit zu steuern	7
	0		Aufgabe 7 Stehlampe	VP15_R2-nonverbal_ES.eaf		15	Task solution	Floor lamp \(L_F\)	Floor lamp \(L_F\)	unobserved	ES		Floor lamp \(L_F\)			Lösungsversuch	nonverbal				Floor lamp \(L_F\)	2		unobserved		unobserved	unobserved		touch			Floor lamp \(L_F\)	VP berührt mehrmals die Lampe, versucht die Helligkeit zu steuern	7
Kommunikationsversuch	0	__Wo ist Musik?__	Aufgabe 3 Apartment	VP15_R2-nonverbal_ES.eaf		15	Task solution	Unspecific	Apartment	neutral	ES		Unspecific			Lösungsversuch	nonverbal				Parts of the apartment	2		with Name		Question (sentence)	curious		speech			Switches (living room by the kitchen)	VP schaut sich suchend um, guckt den Schalterblock an und fragt in den Raum: __Wo ist Musik?__	3
Kommunikationsversuch	0	__Wo ist Musik?__	Aufgabe 2 Apartment	VP15_R2-nonverbal_ES.eaf		15	Task solution	Unspecific	Apartment	neutral	ES		Unspecific			Lösungsversuch	nonverbal				Parts of the apartment	2		with Name		Question (sentence)	curious		speech			Switches (living room by the kitchen)	VP schaut sich suchend um, guckt den Schalterblock an und fragt in den Raum: __Wo ist Musik?__	2
Kommunikationsversuch	0	__Wie spät ist es jetzt?__	Aufgabe 6 Apartment	VP15_R2-nonverbal_ES.eaf		15	Task solution	Parts of the apartment	Apartment	neutral	ES		Screen (kitchen on worktop)			Lösungsversuch	nonverbal				Parts of the apartment	2		with Name		Question (sentence)	unobserved		speech			Screen (kitchen on worktop)	VP schaut auf den Bildschirm auf der Arbeitsfäche und fragt: __Wie spät ist es jetzt?__	6
	0		Aufgabe 5 Apartment	VP15_R2-nonverbal_ES.eaf		15	Task solution	Unspecific	Apartment	unobserved	ES		Unspecific			Lösungsversuch	nonverbal				Unspecific	2		unobserved		unobserved	unobserved		speech			Unspecific	VP fragt in den Raum: __Hatte ich einen Anruf?__	5
	0		Aufgabe 2 Apartment	VP15_R2-nonverbal_ES.eaf		15	Task solution	Parts of the apartment	Apartment	unobserved	ES		Sliding door (between hallway and kitchen)			Lösungsversuch	nonverbal				Self	2		unobserved		unobserved	unobserved		Kombination mehrerer Verhaltensweisen			Self	VP schließt die Schiebetür	2
Kommunikationsversuch	0	__Ähm. gab es Anrufe?__	Aufgabe 5 Apartment	VP17_R1-verbal_PH.eaf		17	Task solution	Unspecific	Apartment	neutral	PH		Unspecific			Lösungsversuch	verbal				Unspecific	1		with Name		Question (sentence)	unobserved		speech			Unspecific	VP fragt: __ähm, gab es Anrufe?__	5
Kommunikationsversuch	0	__Paket?__	Aufgabe 4 Apartment	VP17_R1-verbal_PH.eaf		17	Task solution	Unspecific	Apartment	neutral	PH		Unspecific			Lösungsversuch	verbal				Unspecific	1		with Name		Question (words)	unobserved		speech			Unspecific	VP fragt: __Paket?__	4
